node,importance_score,HIV_vs_Healthy
INHA,0.25,0.0
TNFSF10,0.75,0.0
IL5,0.701,0.0
IL7R,0.25,0.0
CCL19,0.735,-0.0249033705134347
CCL14,0.19,-0.4983602222684289
NODAL,0.25,0.0
IL12A,0.714,-0.06758613909211181
INHBA,0.249,-0.007345337098669705
TGFB1,0.75,0.0
MSTN,0.166,-0.545513640795093
ACVR2A,0.165,-0.5745643162015415
IL6,0.5,0.0
TNFRSF1A,0.25,0.0
CCL8,0.454,-0.12435960733269641
XCR1,0.232,-0.02196028931901822
GDF7,0.103,-0.6062463303084236
CCL25,0.5,0.0
TNFSF13B,1.0,-0.005640065963612537
CCL7,0.477,0.0
IL10,0.75,0.0
TGFB2,0.5,0.0
TNFSF8,0.5,0.0
CNTF,0.384,-0.36336411981293004
IL20RB,0.25,-0.010136974339104387
ACVR1C,0.25,0.0
IL1R1,0.243,0.0
BMP15,0.25,0.0
CSF2RB,0.201,-0.5637342415085284
CCL1,0.745,0.0
AMHR2,0.249,0.0
ACVRL1,0.25,-0.5368358411658254
ACKR4,0.245,0.0
BMP7,0.947,-0.0033916117758666124
TNFRSF10C,0.25,-1.8930494247725114e-05
IL2RB,0.249,-0.4191849567300808
CX3CL1,0.416,-0.29916379121618963
IL17RB,0.25,-0.0005621135469364812
OSM,0.5,0.0
IL11,0.388,-0.36978186269346125
CXCR3,0.197,0.0
IFNK,0.25,0.0
IL17B,0.5,0.0
EDAR,0.25,0.0
BMP6,0.25,0.0
TNFSF13,0.5,0.0
IL36G,0.25,0.0
IL4,0.908,-0.18355190420925646
TNFSF18,0.298,-0.5766292667273054
TNFRSF6B,0.25,-0.27622491747678496
IL21R,0.25,-0.0005999745354319313
CCL26,0.25,0.0
EDA2R,0.25,0.0
TNFRSF13C,0.25,0.0
BMPR1A,0.216,-0.4832005603426297
IL1R2,0.243,0.0
IL12RB2,0.238,-0.45721815165707475
BMP3,0.14,-0.5150034853482555
CSF2RA,0.201,0.0
IL5RA,0.25,0.0
EPOR,0.185,-0.012985403062282243
GDF6,0.25,0.0
CSF1,0.408,-0.33609291086576787
IL15RA,0.25,0.0
IL17A,0.266,0.0
LEPR,0.25,-0.5296895795873091
BMPR2,0.236,-0.5652138733653747
TNFRSF11A,0.25,0.0
GDF2,0.18,-0.435087487889827
CCR10,0.188,0.0
IL13RA2,0.25,0.0005431830526887561
IL31,0.75,-0.005640065963612537
ACVR1B,0.238,-0.014071769167659755
IL2RA,0.249,0.0
CCL17,0.303,-0.05568710213520709
INHBB,0.738,0.0
CCL5,0.45,-0.4363573576571864
CCR2,0.227,-0.010212696316095287
IL1RAP,0.25,-0.011842245474161555
CCL21,0.74,0.0
TNFRSF4,0.25,-0.536834009182511
IFNGR2,0.25,-0.0005621135469364812
IL20,0.829,0.0
CXCL9,0.249,-0.0062021795105490175
XCL1,0.482,0.0
IL12B,0.726,0.0
TNFSF4,0.5,-0.00226738468199365
CCR5,0.199,-0.024770857053700624
IL31RA,0.25,-0.5693217906171311
CXCL12,0.498,-0.0005621135469364812
CCR6,0.158,-0.014090699661907478
LEP,0.5,0.0
BMPR1B,0.245,-0.17157714527536083
IL18R1,0.25,-0.034907831392805004
TGFBR1,0.25,0.0
IL1B,0.493,0.0
GDF9,0.243,-0.09906449772055476
CCL27,0.15,-0.5948471194657692
IL13,0.5,0.0
TNFRSF8,0.25,-0.01356644710346645
TGFB3,0.532,0.0
CSF3,0.5,0.0
IL6ST,0.192,-0.09951302830200488
TNFSF11,0.75,-0.005077952416676056
IL27,0.364,0.0
LIF,0.178,-0.5473718825368938
IL21,0.727,0.0
IL10RA,0.25,-0.127226966550122
GDF11,0.25,0.0
CSF2,0.603,-0.3912936214310293
CCL3,0.153,-0.6966901252130062
TNFRSF9,0.25,0.0
TNFRSF1B,0.25,0.0
IL24,0.171,-0.40013294092250745
IL13RA1,0.227,-0.019768626614015468
IL7,0.25,0.0
LTA,1.0,0.0
IL9R,0.25,0.0
CCL28,0.376,-0.3914056777437538
IFNAR2,0.25,0.0
IL3RA,0.25,0.0
CCR9,0.25,-0.5220315840029995
IL27RA,0.25,-0.6396952923219442
IL2,0.747,-0.007326406604421981
PRLR,0.25,-0.0033916117758666124
PPBP,0.5,0.0
CCL22,0.161,-0.3824845296642372
IL19,0.5,0.0
IFNE,0.5,0.0
IL17C,0.402,-0.35117532416181424
IL22RA1,0.25,0.0
CD4,0.25,0.0
CXCR4,0.249,-0.015758109808469197
TNFRSF11B,0.25,0.0
TNFRSF10D,0.25,0.0
IL3,0.701,0.0
EPO,0.37,-0.39638897768919124
IL9,0.5,0.0
TNFSF14,0.5,0.0
IL33,0.5,0.0
CSF1R,0.204,-0.6836799903759809
TSLP,0.5,0.0
LIFR,0.25,0.0
IL17RA,0.25,0.0
IL18,0.5,0.0
CCL4,0.449,0.0
CCL20,0.316,-0.5702277063660505
CCL11,0.332,-0.5197263383325105
CCL16,0.245,-0.347821573374443
CCL2,0.226,-0.1712043366709016
CCR8,0.25,0.0
CCL13,0.472,-0.024751926559452898
TNFRSF25,0.25,-0.0478553734665918
ACVR1,0.247,0.0
BMP5,0.497,0.0
CSF3R,0.25,-0.4662614319575444
TNFRSF18,0.149,0.0
BMP2,0.755,-0.31475152657642924
CXCL10,0.25,0.0
IFNAR1,0.25,-0.0675672085978641
IL34,0.454,-0.005077952416676056
CX3CR1,0.208,-0.46256693227371415
IL37,0.5,0.0
IL4R,0.227,0.0
CXCR2,0.25,0.0
CCR4,0.188,-0.0011242270938729624
IL1RN,0.729,-0.03711842459205548
TNFSF12,0.416,-0.38255903031901856
IFNL1,0.418,-0.28801037146820335
TNFRSF17,0.25,0.0
IL20RA,0.25,-0.3645582676032987
PF4,0.192,-0.464391587654753
IL1RL2,0.25,0.0
EBI3,0.136,-0.5548946166864979
IL17RE,0.201,-0.5896687132973593
IL1F10,0.25,0.0
IL16,0.5,0.0
TGFBR2,0.25,0.0
GDF10,0.31,-0.06762400008060727
GDF3,0.5,0.0
BMP4,0.25,0.0
GDF15,0.238,-0.09846452318512283
IL1A,0.25,0.0
IL10RB,0.25,-0.01356644710346645
IL2RG,0.227,0.0
IFNGR1,0.25,-0.006802154045980949
IL12RB1,0.238,0.0
OSMR,0.25,-0.4265538042812839
IL1RL1,0.25,0.0
IL15,0.976,0.0
CXCL13,0.5,0.0
IL6R,0.25,0.0
BMP10,0.279,-0.5175346756275078
PRL,0.5,0.0
IL36A,0.5,0.0
IL36RN,0.75,0.0
ACVR2B,0.207,0.0
CCL24,0.25,0.0
TNFSF9,0.5,0.0
IFNG,0.75,0.0
IL23A,0.738,0.0
TNF,0.75,0.0
CCR7,0.245,-0.14451997304541883
GDF1,0.5,0.0
IL23R,0.25,-0.23920114535596812
CCR1,0.235,-0.1489090997359196
CXCL16,0.314,-0.6204188585583696
CXCR6,0.157,0.0
TNFRSF12A,0.208,0.0
IL18RAP,0.25,0.0
IFNLR1,0.209,-0.010212696316095287
CXCL11,0.202,-0.5660278846180269
IL26,0.75,0.0
IL22,0.579,-0.0005621135469364812
IL17RC,0.25,-0.04002364479797651
CXCR5,0.25,-0.07824736598965723
IL36B,0.5,0.0
CLCF1,0.342,0.0
TNFRSF14,0.25,-0.014652813208843962
GDF5,0.607,-0.006764293057485499
TNFSF15,0.5,-0.0011242270938729624
CNTFR,0.25,0.0
IL11RA,0.194,-0.558209285163164
CCR3,0.166,0.0
AMH,0.961,-0.005077952416676056
TNFRSF13B,0.25,0.0
XCL2,0.464,-0.18787843813651878
CTF1,0.216,-0.2674204056682785
EDA,0.75,0.0
IL17F,0.242,-0.0776473914542253
