node,importance_score,HIV_vs_Healthy
LAMTOR5,0.040474905558553695,0.0
EIF4E,0.026983270372369132,-0.03769946863323969
TELO2,0.053966540744738264,0.0
MTOR,0.49433351322180247,0.0
GRB10,0.035617916891527254,0.0
WNT3,0.07771181867242309,0.0
TSC2,0.8310847274689692,-0.25434035013475764
FZD6,0.06745817593092283,0.0
HRAS,0.14031300593631948,-0.05456287504133413
PRKCA,0.026983270372369132,0.0
WNT11,0.039665407447382624,-0.738076765596819
PRKCG,0.040474905558553695,-0.17609328947565273
TTI1,0.026983270372369132,-0.27804377157732846
LAMTOR3,0.040474905558553695,-0.7300251989304881
EIF4EBP1,0.053966540744738264,0.0
IGF1R,0.0650296815974096,0.0
IRS1,0.0650296815974096,-0.0011242270938729624
TNFRSF1A,0.9077172153264975,-0.021473897749072636
WDR59,0.1921208850512682,0.0
GSK3B,0.9004317323259579,-0.2813218003877087
SEC13,0.1921208850512682,-0.5466448904916708
RHEB,0.47679438747976255,0.0
SGK1,0.026983270372369132,0.0
FLCN,0.06745817593092283,-0.27832772899104435
NPRL3,0.019427954668105773,-0.5696088013363707
DDIT4,1.0,0.0
BRAF,0.13275769023205614,-0.02926776542919247
GRB2,0.0650296815974096,0.0
LAMTOR2,0.040474905558553695,0.0
TNF,0.9522396114409066,-0.533525752647445
WNT4,0.05126821370750135,-0.6842726369781558
INSR,0.0650296815974096,0.0
RHOA,0.026983270372369132,-0.35572902402004924
ULK1,0.026983270372369132,0.0
DEPDC5,0.019427954668105773,0.0005431830526887561
FZD2,0.05747436589314625,-0.4455417006728569
AKT1S1,0.06745817593092283,0.0
RAF1,0.13275769023205614,0.0
TSC1,0.8121964382083109,-0.5674751514363208
KRAS,0.03750674581759309,-0.6871341949150861
WDR24,0.14409066378845117,-0.3800159321482234
LAMTOR1,0.040474905558553695,-0.3661310252786218
SLC7A5,0.13491635186184567,0.0
FZD4,0.05666486778197517,-0.5459811018707909
ULK2,0.026983270372369132,-0.46581137472333234
IGF1,0.1640582838640043,-0.09170023012763734
FNIP2,0.06718834322719913,-0.005640065963612537
WNT1,0.035617916891527254,-0.5371778113844939
MAPKAP1,0.026983270372369132,-0.3920392386399478
FZD3,0.053966540744738264,-0.06411880533925429
CLIP1,0.026983270372369132,0.0
SESN2,0.15542363734484618,-0.5378910635548599
LAMTOR4,0.040474905558553695,-0.0005621135469364812
MAP2K2,0.06637884511602807,0.0
SLC38A9,0.24284943335132217,-0.5477984293185724
MAP2K1,0.06637884511602807,0.0
TBC1D7,0.8310847274689692,-0.5158993251889462
PRR5,0.026983270372369132,0.0
NPRL2,0.019427954668105773,0.0005431830526887561
MLST8,0.026983270372369132,-0.558209285163164
PRKCB,0.026983270372369132,0.0
INS,0.3273070696168376,-0.003953725322803093
NRAS,0.04937938478143551,-0.6401264190619086
IKBKB,0.3364813815434431,-0.3866037441464317
DEPTOR,0.7946573124662709,-0.07834201846089586
SLC3A2,0.06745817593092283,-0.09166236913914187
FNIP1,0.06772800863464652,0.0
RICTOR,0.08094981111710739,0.0
WNT2,0.08121964382083108,-0.48348604440910753
WNT6,0.06745817593092283,-0.0005621135469364812
WNT16,0.0528872099298435,-0.5722810543308239
MIOS,0.0960604425256341,-0.0005621135469364812
